Input size,Solution,Solution Length,Time Taken,Approximation Factor
"10,10","[1, 2, 3, 4, 5, 7]",6,0.0003933906555175781,1.5
"10,20","[0, 2, 3, 4, 5, 6, 7, 9]",8,3.0040740966796875e-05,1.3333333333333333
"10,30","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,2.6941299438476562e-05,1.4285714285714286
"10,40","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,4.00543212890625e-05,1.25
"20,20","[1, 2, 4, 5, 6, 8, 9, 11, 12, 13, 14, 16, 17, 18]",14,0.00023102760314941406,1.5555555555555556
"20,30","[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 17, 18]",16,4.673004150390625e-05,1.7777777777777777
"20,40","[2, 3, 4, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18]",16,5.14984130859375e-05,1.4545454545454546
"20,50","[0, 2, 3, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",18,4.100799560546875e-05,1.6363636363636365
