Input size,Solution,Time Taken
"10,10","(1, 3, 7, 9)",0.0033981800079345703
"10,20","(3, 6, 0, 2, 5, 7)",0.008601665496826172
"10,30","(3, 4, 9, 7, 5, 2, 6)",0.011198997497558594
"10,40","(3, 4, 9, 7, 6, 2, 8, 5)",0.013831138610839844
