Input size,Solution,Solution Length,Time Taken,Approximation Factor
"10,10","[1, 2, 3, 4, 5, 7]",6,0.000148773193359375,1.5
"10,20","[0, 2, 3, 4, 5, 6, 7, 9]",8,0.0001227855682373047,1.3333333333333333
"10,30","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.00014591217041015625,1.4285714285714286
"10,40","[0, 1, 2, 3, 4, 5, 6, 7, 8, 9]",10,0.000156402587890625,1.25
