Dataset,HS_Time,Gonzalez_Time,HS_Cost,Gonzalez_Cost
Toy Blobs,0.0392555000144057,0.00020790001144632697,0.4158398785733783,0.5919498075349723
Iris,0.013216899998951703,0.00015660002827644348,2.2120833550153254,2.1221990739919896
Wine,0.023523100011516362,0.00021700002253055573,6.09971737486263,5.882773148276409
Breast Cancer,0.29900160001125187,0.0005188000504858792,11.192901019373915,11.43113193147557
Digits,5.477944600046612,0.0014477999648079276,30.125652303027277,30.80983478455115
Olivetti Faces,0.14114729996072128,0.022427299991250038,91.10336303710938,95.81815338134766
